Geo_id,Geo_id2,Geo_display_label,I_T_WH,I_P_WH,I_T_AA,I_P_AA,I_T_AI,I_P_AI,I_T_AS,I_P_AS,I_T_PI,I_P_PI,I_T_OT,I_P_OT,I_T_HL,I_P_HL
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",35,1.1,3212,98.7,0,0,0,0,0,0,8,0.2,17,0.5
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",57,2.5,2229,96.2,5,0.2,43,1.9,0,0,34,1.5,50,2.2
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",60,2.9,1986,96.8,0,0,0,0,0,0,5,0.2,65,3.2
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",0,0,3072,99.7,17,0.6,0,0,0,0,0,0,0,0
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",42,1.5,2576,91.2,98,3.5,21,0.7,0,0,187,6.6,216,7.6
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",137,4.1,3251,96.5,0,0,0,0,0,0,0,0,3,0.1
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",33,1.1,2873,98.6,0,0,23,0.8,0,0,41,1.4,0,0
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",0,0,5163,100,0,0,94,1.8,9,0.2,0,0,13,0.3
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",156,5.4,2541,87.9,13,0.4,261,9,0,0,7,0.2,56,1.9
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",68,2.2,3050,97.8,12,0.4,11,0.4,0,0,0,0,2,0.1
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",132,6.8,1782,91.3,53,2.7,0,0,0,0,18,0.9,8,0.4
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",91,3.1,2565,86.1,5,0.2,0,0,15,0.5,350,11.7,491,16.5
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",171,5.9,2747,95.1,0,0,0,0,0,0,14,0.5,126,4.4
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",43,2.6,1588,97.8,5,0.3,8,0.5,0,0,5,0.3,32,2
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",12,0.4,2773,100,0,0,0,0,0,0,0,0,0,0
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",2020,70.6,373,13,25,0.9,427,14.9,0,0,95,3.3,278,9.7
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",1433,52.2,1254,45.7,50,1.8,152,5.5,0,0,51,1.9,187,6.8
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",875,24.9,2117,60.2,7,0.2,120,3.4,12,0.3,524,14.9,1011,28.8
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",395,8.5,4242,91.7,23,0.5,0,0,0,0,59,1.3,167,3.6
