Geo_id,Geo_id2,Geo_display_label,T_Pop,T_U5,P_U5,T_5_9,P_5_9,T_10_14,P_10_14,T_15_19,P_15_19,T_20_24,P_20_24,T_25_29,P_25_29,T_30_34,P_30_34,T_35_39,P_35_39,T_40_44,P_40_44,T_45_49,P_45_49,T_50_54,P_50_54,T_55_59,P_55_59,T_60_64,P_60_64,T_65_69,P_65_69,T_70_74,P_70_74,T_75_79,P_75_79,T_80_84,P_80_84,T_85,P_85
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",7799,231,3.0,377,4.8,403,5.2,2617,33.6,819,10.5,155,2.0,170,2.2,253,3.2,350,4.5,389,5.0,349,4.5,261,3.3,279,3.6,379,4.9,332,4.3,161,2.1,81,1.0,193,2.5
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2584,71,2.7,259,10.0,282,10.9,160,6.2,46,1.8,81,3.1,46,1.8,130,5.0,319,12.3,275,10.6,138,5.3,140,5.4,167,6.5,205,7.9,106,4.1,62,2.4,58,2.2,39,1.5
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",7853,543,6.9,775,9.9,431,5.5,508,6.5,363,4.6,252,3.2,367,4.7,551,7.0,609,7.8,822,10.5,566,7.2,301,3.8,460,5.9,349,4.4,443,5.6,251,3.2,45,0.6,217,2.8
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3512,137,3.9,105,3.0,121,3.4,205,5.8,672,19.1,643,18.3,316,9.0,304,8.7,163,4.6,141,4.0,161,4.6,214,6.1,76,2.2,69,2.0,44,1.3,106,3.0,35,1.0,0,0.0
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",4947,463,9.4,212,4.3,188,3.8,90,1.8,154,3.1,305,6.2,548,11.1,223,4.5,395,8.0,235,4.8,422,8.5,359,7.3,428,8.7,263,5.3,287,5.8,145,2.9,115,2.3,115,2.3
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",5031,312,6.2,271,5.4,235,4.7,119,2.4,200,4.0,494,9.8,495,9.8,611,12.1,360,7.2,385,7.7,363,7.2,337,6.7,305,6.1,154,3.1,163,3.2,123,2.4,45,0.9,59,1.2
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",4151,218,5.3,260,6.3,152,3.7,105,2.5,144,3.5,525,12.6,628,15.1,285,6.9,295,7.1,311,7.5,260,6.3,128,3.1,134,3.2,239,5.8,178,4.3,117,2.8,101,2.4,71,1.7
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",7563,207,2.7,251,3.3,70,0.9,24,0.3,447,5.9,1490,19.7,946,12.5,740,9.8,690,9.1,272,3.6,522,6.9,184,2.4,454,6.0,506,6.7,316,4.2,247,3.3,83,1.1,114,1.5
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3334,241,7.2,234,7.0,237,7.1,125,3.7,81,2.4,226,6.8,329,9.9,244,7.3,233,7.0,265,7.9,232,7.0,131,3.9,235,7.0,199,6.0,174,5.2,68,2.0,43,1.3,37,1.1
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3375,392,11.6,101,3.0,181,5.4,119,3.5,123,3.6,116,3.4,210,6.2,219,6.5,217,6.4,325,9.6,251,7.4,129,3.8,128,3.8,144,4.3,185,5.5,99,2.9,219,6.5,217,6.4
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",6077,191,3.1,644,10.6,639,10.5,443,7.3,69,1.1,66,1.1,68,1.1,225,3.7,598,9.8,486,8.0,417,6.9,321,5.3,523,8.6,367,6.0,267,4.4,222,3.7,178,2.9,353,5.8
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",4699,306,6.5,301,6.4,257,5.5,315,6.7,121,2.6,176,3.7,239,5.1,298,6.3,379,8.1,263,5.6,419,8.9,414,8.8,325,6.9,273,5.8,175,3.7,151,3.2,192,4.1,95,2.0
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3217,151,4.7,163,5.1,111,3.5,72,2.2,120,3.7,308,9.6,326,10.1,186,5.8,313,9.7,341,10.6,242,7.5,193,6.0,229,7.1,233,7.2,88,2.7,42,1.3,40,1.2,59,1.8
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",4176,458,11.0,389,9.3,174,4.2,149,3.6,170,4.1,196,4.7,513,12.3,335,8.0,455,10.9,323,7.7,180,4.3,236,5.7,190,4.5,103,2.5,101,2.4,83,2.0,28,0.7,93,2.2
