Geo_id,Geo_id2,Geo_display_label,HH_T_10k,HH_T_1014k,HH_T_1524k,HH_T_2534k,HH_T_3549k,HH_T_5074k,HH_T_7599k,HH_T_100k,HH_T_150k,HH_T_200k
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",23.9,12.4,12.4,6.5,6.9,23.6,7.7,2.2,2.2,2.2
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",2.3,4.9,5.9,6.4,7.4,13.3,11.9,18.4,9.9,19.6
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",6.1,7.9,2,10,8.1,19.3,13.9,15.1,5.9,11.8
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",4.8,2,8.5,5.1,7.6,13.6,10.2,19.5,20.4,8.2
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",8.1,5.2,10.4,11.6,17.8,19.7,10.6,12.6,1.5,2.5
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",5.5,0.7,2.1,2.6,6,9.8,18.9,31.8,14.7,7.9
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",6.6,4.4,2.5,7.3,5.6,12.7,15.2,25.7,8.5,11.5
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",14.2,3.6,4.2,6,8.1,18.1,10.3,17.6,7,10.9
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",6.4,3.4,5.8,7,9.1,18.4,19.8,20.6,3.4,6
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",9.2,6.6,14.5,8.7,7.5,19.3,10.3,16.9,3.9,3
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",5.3,2.1,5.1,7.7,10.6,23.2,7.4,24.7,9.8,4
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",14.6,9.4,19.4,14.6,8.6,19.6,6.3,4.2,1.8,1.5
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",23.7,10.3,17.2,16.8,14.2,9.9,6.2,1.3,0,0.4
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",9.6,9.9,12.8,9.5,14.6,21.8,12.9,4.7,0.4,3.8
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",8.7,7,11.3,8.8,11.2,19,9.7,19,4.3,1
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",15.8,7.9,21.2,7,13.8,9.8,15.1,3.3,2.4,3.8
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",21.6,17.6,15.6,10.8,8.7,18.2,3.8,1.9,0.3,1.5
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",27,9.4,15.1,6.3,10,12.6,10.7,5.4,3.4,0
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",34.2,5.6,8.3,13.2,14.6,10.9,5.8,5.3,1.3,0.7
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",15.3,6.7,10.8,11.7,19,14.1,7.8,9.3,2.8,2.6
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",15.7,9.3,6.6,12.6,16.3,15.8,5.8,11.1,1.2,5.6
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",19.8,13.8,9,16.2,20.8,10.8,1.6,3.7,4.3,0
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",16.7,7.9,12.4,22.2,16.5,10.6,8.7,4,0.7,0.5
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",4.8,2.5,3.4,10.9,9.4,13.6,8.4,20.4,13.5,13.1
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",11.9,3.2,10,6.4,17.3,16.8,13.6,12.2,5.8,2.9
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",9.3,4.8,15.9,3.1,7.9,14.4,16.9,20.4,2.3,5
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",24.3,7.2,14.3,9.4,10.4,9.3,7.8,10.3,3.8,3.1
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",19.1,7.6,10.7,9.1,13,20.7,8,7.8,1.5,2.5
