Geo_id,Geo_id2,Geo_display_label,HH_T_SNAP,HH_P_SNAP,HH_T_nSNAP,HH_P_nSNAP
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",229,19.8,930,80.2
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",492,36.7,849,63.3
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",134,11.4,1045,88.6
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",62,12.2,447,87.8
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",154,9.1,1539,90.9
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",530,27.8,1378,72.2
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",8,0.7,1200,99.3
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",47,3.6,1249,96.4
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",63,5.3,1116,94.7
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",45,7.7,537,92.3
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",161,10.1,1436,89.9
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",104,8,1200,92
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",383,42.3,522,57.7
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",662,38.8,1046,61.2
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",515,31.4,1124,68.6
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",237,24.3,740,75.7
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",318,28.4,802,71.6
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",445,51.5,419,48.5
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",387,55.3,313,44.7
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",544,44.5,679,55.5
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",369,35.2,679,64.8
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",443,33,901,67
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",422,35.1,781,64.9
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",891,49,928,51
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",64,6.4,929,93.6
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",293,26.5,812,73.5
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",154,22.6,527,77.4
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",417,38.9,655,61.1
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",504,44.2,637,55.8
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",262,36,466,64
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",619,53.5,538,46.5
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",46,2.5,1802,97.5
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",21,1.5,1354,98.5
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",180,14.4,1070,85.6
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",734,47.8,800,52.2
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",137,6.1,2121,93.9
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",95,2.9,3175,97.1
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",9,0.8,1101,99.2
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",35,4,848,96
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",610,46.4,704,53.6
1400000US11001011000,11001011e3,"Census Tract 110, District of Columbia, District of Columbia",95,3.8,2382,96.2
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",251,14.5,1482,85.5
