Geo_id,Geo_id2,Geo_display_label,I_T_OE,I_T_SS,I_T_SS_E,I_T_SS_nE,I_T_OL,I_T_OL_E,I_T_OL_nE,I_T_FB
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",2483,56,44,12,159,130,29,253
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",2819,96,96,0,186,166,20,166
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",2760,81,60,21,95,95,0,205
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",2565,117,97,20,173,173,0,255
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",2013,57,40,17,117,110,7,145
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",2183,61,50,11,146,96,50,193
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",2098,33,33,0,82,82,0,69
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",1359,26,26,0,24,14,10,84
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",1978,180,180,0,179,169,10,272
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",2122,217,140,77,219,172,47,441
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",3748,102,84,18,126,50,76,326
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",2079,162,79,83,191,106,85,350
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",2297,74,28,46,93,9,84,249
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",2737,76,10,66,181,53,128,397
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",2937,196,186,10,233,166,67,558
1400000US11001009000,11001009e3,"Census Tract 90, District of Columbia, District of Columbia",2847,184,115,69,134,134,0,263
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",4227,200,81,119,327,232,95,464
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",2152,173,156,17,211,172,39,271
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",2218,277,151,126,194,171,23,260
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",2257,286,108,178,112,54,58,332
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",2665,196,79,117,286,93,193,245
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",888,276,35,241,35,15,20,300
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",3728,214,118,96,463,366,97,491
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",4535,1455,451,1004,986,594,392,2048
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",2928,26,26,0,56,42,14,56
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",2574,351,299,52,148,83,65,337
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",2457,288,178,110,58,24,34,429
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",1396,218,49,169,142,105,37,273
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",2620,540,305,235,381,272,109,740
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",2644,176,157,19,158,158,0,184
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",2345,10,10,0,39,18,21,55
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",3068,101,36,65,40,17,23,91
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",3155,105,46,59,43,43,0,118
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",2048,69,62,7,0,0,0,54
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",2821,34,34,0,64,27,37,144
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",1948,78,28,50,42,27,15,174
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",1748,57,0,57,0,0,0,81
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",2652,50,50,0,28,13,15,52
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",2404,217,69,148,30,21,9,121
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",3101,57,28,29,16,16,0,106
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",2491,0,0,0,0,0,0,44
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",4675,17,17,0,125,104,21,57
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",2662,56,49,7,50,43,7,96
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",2907,49,34,15,62,34,28,47
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",1734,75,66,9,66,66,0,139
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",2107,276,72,204,44,36,8,265
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",2432,110,55,55,53,27,26,134
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",1446,40,20,20,65,37,28,68
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",2656,0,0,0,0,0,0,17
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",1929,227,202,25,602,495,107,887
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",2157,191,172,19,257,249,8,384
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",2053,1001,767,234,307,231,76,536
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",4289,88,88,0,70,60,10,145
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",2595,267,229,38,610,580,30,708
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",6284,217,217,0,406,319,87,534
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",1205,204,195,9,293,219,74,398
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",4929,388,328,60,1134,995,139,1046
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",3366,35,19,16,159,90,69,202
1400000US11001011000,11001011e3,"Census Tract 110, District of Columbia, District of Columbia",3234,60,60,0,328,275,53,402
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",4685,247,239,8,238,191,47,391
