Geo_id,Geo_id2,Geo_display_label,I_T_wa,I_R_lfpart,I_O_ratio,I_R_unemp
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",3784,63.8,46,28
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",2538,66.9,62.3,6.9
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",2607,59.4,50.2,15.6
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",1574,64,57.8,9.6
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",2005,64.7,55.8,13.8
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",2192,64.6,49.5,23.4
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",1383,62,51.8,16.5
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",2130,64.2,49.2,23.3
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",2688,80.6,76.1,5.1
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",2474,76.8,73.3,2.5
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",2985,65.4,52.5,18.2
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",3614,53.8,39.5,26.7
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",3311,77,69.7,8.4
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",6724,85.5,81.3,3.6
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",1702,75.7,72.5,4.3
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",6451,42.6,37.9,10.9
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",2878,55.8,46.4,16.9
1400000US11001011000,11001011e3,"Census Tract 110, District of Columbia, District of Columbia",3503,72.1,67.7,4
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",4614,57.2,50.3,12
